@relation 'huge_each_goodbad_smart-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a4 >3.0, 5.0,1.0)-Ngood_or_bad-weka.filters.unsupervised.attribute.Discretize-Y-B2-M-1.0-Rlast-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.instance.RemoveRange-R1-4187-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1'

@attribute type {review,title}
@attribute num_words numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute good_or_bad {'\'B1of2\'','\'B2of2\''}

@data
title,5,0.4,0.6,0,0.6,0,0,0,0,0,0.8,'\'B1of2\''
title,10,0.6,0.4,0,0.2,0.1,0.1,0.1,0.1,0,0.5,'\'B1of2\''
review,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
review,56,0.5,0.5,0,0.160714,0.071429,0.160714,0.035714,0.142857,0,0.553571,'\'B2of2\''
review,74,0.513514,0.486486,0,0.162162,0.054054,0.22973,0,0.040541,0,0.445946,'\'B1of2\''
title,4,0.25,0.75,0,0.25,0,0.25,0,0,0,0.5,'\'B2of2\''
review,215,0.465116,0.534884,0,0.218605,0.018605,0.130233,0.069767,0.097674,0.004651,0.465116,'\'B2of2\''
review,13,0.230769,0.769231,0,0.230769,0.076923,0.153846,0.230769,0.153846,0,0.615385,'\'B2of2\''
title,6,0.5,0.5,0,0.166667,0,0.166667,0.166667,0.166667,0,0.833333,'\'B2of2\''
title,10,0.5,0.5,0,0.3,0.2,0.2,0.1,0,0,0.7,'\'B2of2\''
title,3,0.333333,0.666667,0,0,0.333333,0.333333,0,0.333333,0,1,'\'B1of2\''
title,4,0.5,0.5,0,0.25,0,0,0.25,0,0,0.5,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,4,0.25,0.75,0,0.5,0.25,0,0,0.25,0,1,'\'B1of2\''
title,3,0.333333,0.666667,0,0,0,0,0,0.666667,0,1,'\'B1of2\''
review,77,0.519481,0.480519,0,0.194805,0.038961,0.194805,0.051948,0.064935,0,0.480519,'\'B1of2\''
title,1,0,1,0,1,0,0,0,0,0,1,'\'B1of2\''
title,5,0.4,0.6,0,0.2,0,0,0.2,0.4,0,0.6,'\'B1of2\''
review,15,0,1,0,1,0,0,0,0,0,1,'\'B2of2\''
review,42,0.404762,0.595238,0,0.214286,0.02381,0.166667,0.095238,0.047619,0,0.452381,'\'B1of2\''
title,3,0.333333,0.666667,0,0.333333,0,0.333333,0,0,0,0.666667,'\'B1of2\''
review,54,0.611111,0.388889,0,0.111111,0.037037,0.240741,0.111111,0.037037,0.018519,0.425926,'\'B1of2\''
review,5,0.2,0.8,0,0.2,0.2,0.2,0.2,0.2,0,0.8,'\'B2of2\''
review,13,0.461538,0.538462,0,0.076923,0.153846,0.230769,0,0.230769,0,0.615385,'\'B2of2\''
title,3,0.333333,0.666667,0,0.333333,0,0.333333,0,0,0,0.666667,'\'B2of2\''
title,2,0,1,0,0.5,0,0.5,0,0,0,1,'\'B1of2\''
title,7,0.428571,0.571429,0,0.285714,0,0.142857,0,0.428571,0,0.714286,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,13,0.461538,0.538462,0,0.230769,0.153846,0.230769,0,0.153846,0,0.846154,'\'B2of2\''
title,10,0.6,0.4,0,0.2,0.1,0.1,0,0.1,0,0.6,'\'B1of2\''
review,3,0.333333,0.666667,0,0.333333,0,0.333333,0,0,0,0.333333,'\'B2of2\''
review,60,0.333333,0.666667,0,0.166667,0.033333,0.2,0.133333,0.15,0.033333,0.583333,'\'B1of2\''
review,113,0.530973,0.469027,0,0.159292,0.035398,0.20354,0.106195,0.070796,0.00885,0.460177,'\'B2of2\''
review,58,0.5,0.5,0,0.137931,0.068966,0.224138,0.086207,0.086207,0.017241,0.551724,'\'B2of2\''
review,47,0.553191,0.446809,0,0.212766,0.06383,0.148936,0.021277,0.06383,0,0.510638,'\'B2of2\''
review,37,0.324324,0.675676,0,0.189189,0.054054,0.27027,0.135135,0.108108,0.027027,0.675676,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B1of2\''
title,4,0.25,0.75,0,0.25,0,0.5,0,0,0,0.75,'\'B1of2\''
review,16,0.5,0.5,0,0.25,0.125,0.25,0,0.125,0,0.6875,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
title,4,0.75,0.25,0,0.5,0,0.5,0,0,0,1,'\'B2of2\''
review,8,0.375,0.625,0,0.5,0,0,0.125,0,0,0.625,'\'B2of2\''
review,56,0.321429,0.678571,0,0.285714,0.035714,0.125,0.125,0.125,0,0.589286,'\'B1of2\''
review,19,0.578947,0.421053,0,0.105263,0.105263,0.368421,0,0.052632,0,0.473684,'\'B2of2\''
