@relation 'huge_each_goodbad_smart-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a4 >3.0, 5.0,1.0)-Ngood_or_bad-weka.filters.unsupervised.attribute.Discretize-Y-B2-M-1.0-Rlast-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.instance.RemoveRange-R1-4187-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R2,6,7,8,9,10,11,12'

@attribute 'stop_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute good_or_bad {'\'B1of2\'','\'B2of2\''}

@data
0.4,0,0,0,0,0,0.8,'\'B1of2\''
0.6,0.1,0.1,0.1,0.1,0,0.5,'\'B1of2\''
0,0,0,0,0.5,0,1,'\'B2of2\''
0.5,0.071429,0.160714,0.035714,0.142857,0,0.553571,'\'B2of2\''
0.513514,0.054054,0.22973,0,0.040541,0,0.445946,'\'B1of2\''
0.25,0,0.25,0,0,0,0.5,'\'B2of2\''
0.465116,0.018605,0.130233,0.069767,0.097674,0.004651,0.465116,'\'B2of2\''
0.230769,0.076923,0.153846,0.230769,0.153846,0,0.615385,'\'B2of2\''
0.5,0,0.166667,0.166667,0.166667,0,0.833333,'\'B2of2\''
0.5,0.2,0.2,0.1,0,0,0.7,'\'B2of2\''
0.333333,0.333333,0.333333,0,0.333333,0,1,'\'B1of2\''
0.5,0,0,0.25,0,0,0.5,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.25,0.25,0,0,0.25,0,1,'\'B1of2\''
0.333333,0,0,0,0.666667,0,1,'\'B1of2\''
0.519481,0.038961,0.194805,0.051948,0.064935,0,0.480519,'\'B1of2\''
0,0,0,0,0,0,1,'\'B1of2\''
0.4,0,0,0.2,0.4,0,0.6,'\'B1of2\''
0,0,0,0,0,0,1,'\'B2of2\''
0.404762,0.02381,0.166667,0.095238,0.047619,0,0.452381,'\'B1of2\''
0.333333,0,0.333333,0,0,0,0.666667,'\'B1of2\''
0.611111,0.037037,0.240741,0.111111,0.037037,0.018519,0.425926,'\'B1of2\''
0.2,0.2,0.2,0.2,0.2,0,0.8,'\'B2of2\''
0.461538,0.153846,0.230769,0,0.230769,0,0.615385,'\'B2of2\''
0.333333,0,0.333333,0,0,0,0.666667,'\'B2of2\''
0,0,0.5,0,0,0,1,'\'B1of2\''
0.428571,0,0.142857,0,0.428571,0,0.714286,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.461538,0.153846,0.230769,0,0.153846,0,0.846154,'\'B2of2\''
0.6,0.1,0.1,0,0.1,0,0.6,'\'B1of2\''
0.333333,0,0.333333,0,0,0,0.333333,'\'B2of2\''
0.333333,0.033333,0.2,0.133333,0.15,0.033333,0.583333,'\'B1of2\''
0.530973,0.035398,0.20354,0.106195,0.070796,0.00885,0.460177,'\'B2of2\''
0.5,0.068966,0.224138,0.086207,0.086207,0.017241,0.551724,'\'B2of2\''
0.553191,0.06383,0.148936,0.021277,0.06383,0,0.510638,'\'B2of2\''
0.324324,0.054054,0.27027,0.135135,0.108108,0.027027,0.675676,'\'B1of2\''
0,0,0,0,0.5,0,1,'\'B1of2\''
0.25,0,0.5,0,0,0,0.75,'\'B1of2\''
0.5,0.125,0.25,0,0.125,0,0.6875,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0.75,0,0.5,0,0,0,1,'\'B2of2\''
0.375,0,0,0.125,0,0,0.625,'\'B2of2\''
0.321429,0.035714,0.125,0.125,0.125,0,0.589286,'\'B1of2\''
0.578947,0.105263,0.368421,0,0.052632,0,0.473684,'\'B2of2\''
0.481481,0.018519,0.185185,0.092593,0.092593,0.037037,0.537037,'\'B1of2\''
0.666667,0.083333,0.333333,0.166667,0,0.083333,0.166667,'\'B1of2\''
0.611111,0.055556,0.166667,0.055556,0.166667,0,0.5,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0.3125,0.125,0.25,0.0625,0.0625,0,0.625,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.4,0.2,0,0,0.4,0,0.8,'\'B2of2\''
0.25,0,0,0,0.5,0,0.75,'\'B1of2\''
0.5,0,0.166667,0.5,0,0,0.5,'\'B1of2\''
0.6,0.2,0.4,0.2,0,0,0.4,'\'B1of2\''
0.490196,0.039216,0.196078,0.078431,0.098039,0.019608,0.490196,'\'B1of2\''
0.477707,0.031847,0.197452,0.044586,0.057325,0.012739,0.515924,'\'B1of2\''
0.47,0.03,0.2,0.04,0.07,0,0.46,'\'B1of2\''
0,0,0,0,0,0,1,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.526316,0.052632,0.315789,0.105263,0.105263,0.105263,0.526316,'\'B1of2\''
0.5,0,0.333333,0,0,0,0.833333,'\'B1of2\''
0.333333,0,0,0,0,0,0.666667,'\'B1of2\''
0.514851,0.029703,0.227723,0.079208,0.09901,0,0.475248,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.583333,0.083333,0.333333,0,0,0,0.75,'\'B2of2\''
0.526316,0.052632,0.263158,0.052632,0.105263,0,0.657895,'\'B2of2\''
0,0,0.5,0,0,0,1,'\'B1of2\''
0.447368,0.078947,0.184211,0.052632,0.131579,0,0.605263,'\'B2of2\''
0.505882,0.023529,0.152941,0.047059,0.117647,0.011765,0.458824,'\'B1of2\''
0,0,0,0,0,0,1,'\'B2of2\''
0.5,0.25,0,0,0,0,0.75,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0.583333,0.166667,0.25,0,0.083333,0,0.5,'\'B2of2\''
0,0,0,0.5,0,0,0.5,'\'B2of2\''
0.462963,0.018519,0.203704,0.055556,0.092593,0,0.537037,'\'B1of2\''
0.25,0,0,0,0,0,0.75,'\'B2of2\''
0.444444,0,0.166667,0.111111,0.222222,0,0.555556,'\'B1of2\''
0.452381,0.071429,0.190476,0.071429,0.095238,0.02381,0.571429,'\'B2of2\''
0.142857,0,0.142857,0.142857,0.142857,0,0.857143,'\'B1of2\''
0.416667,0.020833,0.145833,0,0.083333,0,0.520833,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0.636364,0.181818,0.272727,0,0,0,0.454545,'\'B1of2\''
0.428571,0,0.142857,0.142857,0.142857,0,0.428571,'\'B2of2\''
0.333333,0,0.166667,0.166667,0.333333,0,0.666667,'\'B1of2\''
0.619048,0.047619,0.190476,0.047619,0.047619,0,0.571429,'\'B2of2\''
0.333333,0,0,0,0,0,0.666667,'\'B2of2\''
0,0,0,0,0.666667,0,1,'\'B1of2\''
0.384615,0.076923,0.307692,0.076923,0.076923,0,0.615385,'\'B1of2\''
0.555556,0.222222,0.333333,0,0.111111,0,0.777778,'\'B2of2\''
0.428571,0.142857,0.142857,0,0.142857,0,0.714286,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.3,0.1,0.3,0,0.1,0,1,'\'B2of2\''
0.389831,0.033898,0.169492,0.050847,0.118644,0,0.576271,'\'B1of2\''
0.5,0,0.25,0.25,0.25,0,0.25,'\'B2of2\''
