@relation 'smart_review_data-weka.filters.unsupervised.attribute.Reorder-R1,3-last,2'

@attribute id numeric
@attribute type {review,title}
@attribute rating numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute product_name {'crosley cr8005a-tu c','jbl clip 2 waterproo','ninja professional b','oster cordless elect','iron gym total upper','everydrop by whirlpo','uvex skyper blue lig','rolodex deep desk dr','dymo labelmanager 28','the crystal bible','cuisinart mcp193-18n','viviscal extra stren','fake dog lucy poop d','mega man amiibo supe','skip hop zoo toddler','rhode island novelty','remo kd-0500-01 kids','prismacolor premier ','infant optics dxr-8 ','thermopro tp50 digit'}

@data
42,review,1,0.456954,0.543046,0,0.152318,0.02649,0.125828,0.092715,0.072848,0.013245,'crosley cr8005a-tu c'
42,title,1,0,1,0,0.333333,0,0.333333,0.333333,0,0,'crosley cr8005a-tu c'
43,review,1,0.454545,0.545455,0,0.157576,0.042424,0.145455,0.042424,0.060606,0.006061,'crosley cr8005a-tu c'
43,title,1,0.375,0.625,0,0.25,0,0.25,0.125,0,0,'crosley cr8005a-tu c'
44,review,5,0.434211,0.565789,0,0.203947,0.019737,0.098684,0.046053,0.085526,0,'crosley cr8005a-tu c'
44,title,5,0.384615,0.615385,0,0.230769,0,0.153846,0,0.230769,0,'crosley cr8005a-tu c'
45,review,4,0.472,0.528,0,0.16,0.024,0.176,0.064,0.112,0.008,'crosley cr8005a-tu c'
45,title,4,0.4,0.6,0,0.4,0,0,0,0.2,0,'crosley cr8005a-tu c'
46,review,3,0.428571,0.571429,0,0.168067,0.016807,0.142857,0.067227,0.12605,0.008403,'crosley cr8005a-tu c'
46,title,3,0.333333,0.666667,0,0.666667,0,0,0,0,0,'crosley cr8005a-tu c'
47,review,5,0.448485,0.551515,0,0.139394,0.042424,0.169697,0.042424,0.048485,0.006061,'crosley cr8005a-tu c'
47,title,5,0.4,0.6,0,0.4,0,0.2,0.2,0,0,'crosley cr8005a-tu c'
48,review,4,0.463415,0.536585,0,0.182927,0.036585,0.134146,0.04878,0.097561,0,'crosley cr8005a-tu c'
48,title,4,0.333333,0.666667,0,0.666667,0,0,0,0,0,'crosley cr8005a-tu c'
49,review,2,0.446429,0.553571,0,0.107143,0.035714,0.133929,0.089286,0.071429,0,'crosley cr8005a-tu c'
49,title,2,0.571429,0.428571,0,0,0.142857,0.285714,0,0,0.142857,'crosley cr8005a-tu c'
50,review,5,0.507042,0.492958,0,0.197183,0.056338,0.140845,0.042254,0.084507,0.014085,'jbl clip 2 waterproo'
50,title,5,0.333333,0.666667,0,0.333333,0,0,0,0.333333,0,'jbl clip 2 waterproo'
51,review,5,0.44186,0.55814,0,0.174419,0.023256,0.162791,0.081395,0.05814,0.011628,'jbl clip 2 waterproo'
51,title,5,0.2,0.8,0,0.2,0,0.4,0,0,0,'jbl clip 2 waterproo'
52,review,5,0.523364,0.476636,0,0.186916,0.028037,0.121495,0.028037,0.11215,0.009346,'jbl clip 2 waterproo'
52,title,5,0.285714,0.714286,0,0.285714,0,0.142857,0,0.285714,0,'jbl clip 2 waterproo'
53,review,5,0.389831,0.610169,0,0.152542,0.022599,0.096045,0.073446,0.101695,0.00565,'jbl clip 2 waterproo'
53,title,5,0.363636,0.636364,0,0.454545,0,0.181818,0,0.090909,0,'jbl clip 2 waterproo'
54,review,5,0.344,0.656,0,0.192,0.024,0.176,0.056,0.088,0,'jbl clip 2 waterproo'
54,title,5,0.142857,0.857143,0,0.285714,0,0.071429,0,0.071429,0,'jbl clip 2 waterproo'
55,review,5,0.417266,0.582734,0,0.143885,0.028777,0.129496,0.028777,0.115108,0,'jbl clip 2 waterproo'
55,title,5,0.25,0.75,0,0.416667,0,0,0,0.166667,0,'jbl clip 2 waterproo'
56,review,5,0.508621,0.491379,0,0.137931,0.034483,0.103448,0.051724,0.060345,0,'jbl clip 2 waterproo'
56,title,5,0.285714,0.714286,0,0.428571,0,0.285714,0,0.142857,0,'jbl clip 2 waterproo'
57,review,5,0.464286,0.535714,0,0.115079,0.015873,0.095238,0.047619,0.075397,0.003968,'jbl clip 2 waterproo'
57,title,5,0.380952,0.619048,0,0.238095,0,0.142857,0.095238,0.047619,0,'jbl clip 2 waterproo'
58,review,5,0.395105,0.604895,0,0.125874,0.024476,0.132867,0.052448,0.052448,0.020979,'ninja professional b'
58,title,5,0,1,0,0.5,0,0,0,0.333333,0,'ninja professional b'
59,review,5,0.48062,0.51938,0,0.139535,0.031008,0.178295,0.062016,0.046512,0.023256,'ninja professional b'
59,title,5,0,1,0,0.8,0,0,0,0,0,'ninja professional b'
60,review,5,0.432099,0.567901,0,0.127572,0.014403,0.113169,0.05144,0.059671,0.010288,'ninja professional b'
60,title,5,0,1,0,1,0,0,0,0,0,'ninja professional b'
61,review,1,0.525,0.475,0,0.091667,0.041667,0.2,0.083333,0.05,0.008333,'ninja professional b'
61,title,1,0,1,0,0.5,0,0.25,0,0,0,'ninja professional b'
62,review,1,0.387755,0.612245,0,0.183673,0.030612,0.153061,0.010204,0.040816,0.010204,'ninja professional b'
62,title,1,0.166667,0.833333,0,0.222222,0,0.166667,0.055556,0.166667,0,'ninja professional b'
63,review,5,0.380769,0.619231,0,0.115385,0.026923,0.119231,0.080769,0.034615,0.011538,'oster cordless elect'
63,title,5,0,1,0,0.285714,0,0,0.142857,0,0,'oster cordless elect'
64,review,3,0.473822,0.526178,0,0.112565,0.020942,0.128272,0.060209,0.039267,0.007853,'oster cordless elect'
64,title,3,0.5,0.5,0,0,0.25,0.25,0,0.25,0,'oster cordless elect'
65,review,1,0.397849,0.602151,0,0.157706,0.021505,0.157706,0.043011,0.035842,0.007168,'oster cordless elect'
65,title,1,0.090909,0.909091,0,0.272727,0,0.181818,0.090909,0.181818,0,'oster cordless elect'
66,review,5,0.367925,0.632075,0,0.141509,0.018868,0.169811,0.028302,0.066038,0.009434,'oster cordless elect'
66,title,5,0.266667,0.733333,0,0.266667,0,0.133333,0.133333,0.066667,0,'oster cordless elect'
67,review,1,0.484536,0.515464,0,0.185567,0.041237,0.175258,0.092784,0.020619,0.020619,'oster cordless elect'
67,title,1,0.285714,0.714286,0,0.285714,0.142857,0.285714,0.142857,0,0,'oster cordless elect'
68,review,1,0.430168,0.569832,0,0.100559,0.039106,0.150838,0.044693,0.055866,0.005587,'oster cordless elect'
68,title,1,0.421053,0.578947,0,0.210526,0.052632,0.210526,0.052632,0.052632,0,'oster cordless elect'
69,review,5,0.460317,0.539683,0,0.253968,0.015873,0.111111,0.047619,0.031746,0,'iron gym total upper'
69,title,5,0.142857,0.857143,0,0.285714,0,0,0,0.285714,0,'iron gym total upper'
70,review,3,0.444444,0.555556,0,0.194444,0.027778,0.194444,0.097222,0.027778,0.013889,'iron gym total upper'
70,title,3,0.363636,0.636364,0,0.181818,0,0.181818,0.181818,0,0,'iron gym total upper'
71,review,4,0.414286,0.585714,0,0.128571,0.042857,0.185714,0.085714,0.042857,0.028571,'iron gym total upper'
71,title,4,0.166667,0.833333,0,0.333333,0,0.166667,0.166667,0,0,'iron gym total upper'
72,review,4,0.46696,0.53304,0,0.15859,0.022026,0.140969,0.039648,0.066079,0.013216,'iron gym total upper'
72,title,4,0.125,0.875,0,0.375,0,0,0,0.375,0,'iron gym total upper'
73,review,4,0.36036,0.63964,0.004505,0.162162,0.022523,0.112613,0.054054,0.04955,0.013514,'iron gym total upper'
73,title,4,0.384615,0.615385,0,0.230769,0.153846,0.230769,0.076923,0,0,'iron gym total upper'
74,review,1,0.414286,0.585714,0,0.185714,0.014286,0.2,0.042857,0.085714,0,'iron gym total upper'
74,title,1,0.181818,0.818182,0,0.181818,0,0.272727,0.090909,0,0,'iron gym total upper'
75,review,1,0.513699,0.486301,0,0.143836,0.013699,0.184932,0.027397,0.047945,0.006849,'iron gym total upper'
75,title,1,0.428571,0.571429,0,0,0.142857,0.428571,0.142857,0.142857,0,'iron gym total upper'
76,review,5,0.430556,0.569444,0,0.138889,0.020833,0.131944,0.0625,0.111111,0.013889,'iron gym total upper'
76,title,5,0,1,0,0.2,0,0,0,0,0,'iron gym total upper'
77,review,5,0.483607,0.516393,0,0.122951,0.016393,0.172131,0.04918,0.065574,0.016393,'everydrop by whirlpo'
77,title,5,0,1,0,0.5,0,0,0,0.5,0,'everydrop by whirlpo'
78,review,5,0.483871,0.516129,0,0.169355,0.056452,0.137097,0.048387,0.072581,0,'everydrop by whirlpo'
78,title,5,0.555556,0.444444,0,0.111111,0.111111,0.222222,0.111111,0.111111,0,'everydrop by whirlpo'
79,review,5,0.342466,0.657534,0,0.150685,0,0.205479,0.054795,0.041096,0.013699,'everydrop by whirlpo'
79,title,5,0.142857,0.857143,0,0.428571,0,0,0,0.142857,0,'everydrop by whirlpo'
80,review,1,0.417808,0.582192,0,0.123288,0.027397,0.178082,0.09589,0.068493,0.020548,'everydrop by whirlpo'
80,title,1,0.333333,0.666667,0,0.333333,0,0.166667,0.166667,0,0,'everydrop by whirlpo'
