@relation frequency_distribution-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rlast-unset-class-temporarily

@attribute shopcelldeals {True,False}
@attribute ve {True,False}
@attribute -affordable {True,False}
@attribute //www.amazon.com/hqrp-compatible-labelmanager-electronic-labelmaker/dp/b007pp90ta/ {True,False}
@attribute 1-day {True,False}
@attribute 145 {True,False}
@attribute 23 {True,False}
@attribute 255.255.255.255 {True,False}
@attribute 300 {True,False}
@attribute 3x5 {True,False}
@attribute 600 {True,False}
@attribute 64gb {True,False}
@attribute 81 {True,False}
@attribute able {True,False}
@attribute about {True,False}
@attribute abuse {True,False}
@attribute accessibility {True,False}
@attribute activity {True,False}
@attribute adjust {True,False}
@attribute after {True,False}
@attribute aheads {True,False}
@attribute all-weather {True,False}
@attribute allowed {True,False}
@attribute along {True,False}
@attribute already {True,False}
@attribute always {True,False}
@attribute amplifier {True,False}
@attribute anytime {True,False}
@attribute appearance {True,False}
@attribute are {True,False}
@attribute asked {True,False}
@attribute asleep {True,False}
@attribute auxiliary {True,False}
@attribute available {True,False}
@attribute bag {True,False}
@attribute bam {True,False}
@attribute beneath {True,False}
@attribute birthday {True,False}
@attribute blend {True,False}
@attribute blocking {True,False}
@attribute bold {True,False}
@attribute briefcase {True,False}
@attribute brushed {True,False}
@attribute bt {True,False}
@attribute bulb {True,False}
@attribute burnt {True,False}
@attribute button- {True,False}
@attribute camera {True,False}
@attribute cart {True,False}
@attribute change {True,False}
@attribute charger {True,False}
@attribute charging {True,False}
@attribute cheaper {True,False}
@attribute clarity {True,False}
@attribute clear {True,False}
@attribute clip {True,False}
@attribute closely {True,False}
@attribute closing {True,False}
@attribute comment {True,False}
@attribute comparable {True,False}
@attribute complaining {True,False}
@attribute consuming {True,False}
@attribute consumption {True,False}
@attribute cook {True,False}
@attribute cooked {True,False}
@attribute cork {True,False}
@attribute correct {True,False}
@attribute covered {True,False}
@attribute crash {True,False}
@attribute crystal {True,False}
@attribute curious {True,False}
@attribute damaged {True,False}
@attribute daughter {True,False}
@attribute defect {True,False}
@attribute delivered {True,False}
@attribute demonstrates {True,False}
@attribute desire {True,False}
@attribute device {True,False}
@attribute digit {True,False}
@attribute ding {True,False}
@attribute done {True,False}
@attribute dried {True,False}
@attribute drink {True,False}
@attribute dry {True,False}
@attribute e.g {True,False}
@attribute each {True,False}
@attribute easy {True,False}
@attribute edition {True,False}
@attribute energy {True,False}
@attribute equal {True,False}
@attribute eraser {True,False}
@attribute espresso {True,False}
@attribute excellent {True,False}
@attribute expectation {True,False}
@attribute experimenting {True,False}
@attribute eye {True,False}
@attribute factory {True,False}
@attribute fake {True,False}
@attribute far {True,False}
@attribute feel {True,False}
@attribute feeling {True,False}
@attribute finding {True,False}
@attribute flabby {True,False}
@attribute flagship {True,False}
@attribute flow {True,False}
@attribute frozen {True,False}
@attribute frugal {True,False}
@attribute fulfilling {True,False}
@attribute full {True,False}
@attribute gag {True,False}
@attribute gague {True,False}
@attribute given {True,False}
@attribute grainy {True,False}
@attribute greek {True,False}
@attribute grip {True,False}
@attribute half {True,False}
@attribute hand {True,False}
@attribute handed {True,False}
@attribute handset {True,False}
@attribute heat {True,False}
@attribute helpful {True,False}
@attribute hold {True,False}
@attribute honest {True,False}
@attribute hour {True,False}
@attribute house {True,False}
@attribute huge {True,False}
@attribute i {True,False}
@attribute if {True,False}
@attribute ignore {True,False}
@attribute including {True,False}
@attribute incomplete {True,False}
@attribute installation {True,False}
@attribute it {True,False}
@attribute it- {True,False}
@attribute item {True,False}
@attribute june {True,False}
@attribute junkie {True,False}
@attribute key {True,False}
@attribute labeler {True,False}
@attribute lacklustre {True,False}
@attribute last {True,False}
@attribute leaked {True,False}
@attribute list {True,False}
@attribute loose {True,False}
@attribute manual {True,False}
@attribute many {True,False}
@attribute marshmallow {True,False}
@attribute matter {True,False}
@attribute me {True,False}
@attribute mediocre {True,False}
@attribute mention {True,False}
@attribute might {True,False}
@attribute mine {True,False}
@attribute miraculously {True,False}
@attribute mistake {True,False}
@attribute near {True,False}
@attribute nicely {True,False}
@attribute nope {True,False}
@attribute occurred {True,False}
@attribute older {True,False}
@attribute online {True,False}
@attribute opted {True,False}
@attribute or {True,False}
@attribute order {True,False}
@attribute organization {True,False}
@attribute organizer {True,False}
@attribute original {True,False}
@attribute outlasted {True,False}
@attribute outside {True,False}
@attribute owned {True,False}
@attribute owning {True,False}
@attribute party {True,False}
@attribute performed {True,False}
@attribute phablets {True,False}
@attribute physically {True,False}
@attribute piece {True,False}
@attribute pitcher {True,False}
@attribute placed {True,False}
@attribute pop {True,False}
@attribute possible {True,False}
@attribute postage {True,False}
@attribute pot {True,False}
@attribute program {True,False}
@attribute promptly {True,False}
@attribute proportion {True,False}
@attribute pulling {True,False}
@attribute purchase {True,False}
@attribute pursue {True,False}
@attribute pyrite {True,False}
@attribute quality {True,False}
@attribute quick {True,False}
@attribute qwerty {True,False}
@attribute ranging {True,False}
@attribute read {True,False}
@attribute rectsnslit {True,False}
@attribute reform {True,False}
@attribute replied {True,False}
@attribute repurpose {True,False}
@attribute requesting {True,False}
@attribute research {True,False}
@attribute resolving {True,False}
@attribute responded {True,False}
@attribute rolled {True,False}
@attribute s {True,False}
@attribute satisfying {True,False}
@attribute saved/paid {True,False}
@attribute say {True,False}
@attribute scratched {True,False}
@attribute seems {True,False}
@attribute selection {True,False}
@attribute serene {True,False}
@attribute service {True,False}
@attribute shining {True,False}
@attribute shock {True,False}
@attribute shocked {True,False}
@attribute shoulder {True,False}
@attribute shown {True,False}
@attribute shutter {True,False}
@attribute similar {True,False}
@attribute simmering {True,False}
@attribute simulate {True,False}
@attribute six {True,False}
@attribute size {True,False}
@attribute skeptical {True,False}
@attribute skip {True,False}
@attribute skipping {True,False}
@attribute small {True,False}
@attribute smokin {True,False}
@attribute smooth {True,False}
@attribute smoothie {True,False}
@attribute software {True,False}
@attribute sounded {True,False}
@attribute speed {True,False}
@attribute spending {True,False}
@attribute standard {True,False}
@attribute star {True,False}
@attribute started {True,False}
@attribute stated {True,False}
@attribute stock {True,False}
@attribute storage {True,False}
@attribute student {True,False}
@attribute such {True,False}
@attribute sufficiently {True,False}
@attribute suit {True,False}
@attribute super {True,False}
@attribute support {True,False}
@attribute supposedly {True,False}
@attribute tension {True,False}
@attribute terrible- {True,False}
@attribute than {True,False}
@attribute the {True,False}
@attribute then {True,False}
@attribute thick {True,False}
@attribute think {True,False}
@attribute thrilled {True,False}
@attribute thru {True,False}
@attribute thus {True,False}
@attribute tight {True,False}
@attribute tilt {True,False}
@attribute told {True,False}
@attribute toll {True,False}
@attribute tore {True,False}
@attribute traveled {True,False}
@attribute triply {True,False}
@attribute true {True,False}
@attribute truth {True,False}
@attribute turquoise {True,False}
@attribute two {True,False}
@attribute ultimate {True,False}
@attribute under {True,False}
@attribute uneducated {True,False}
@attribute unique {True,False}
@attribute upgrading {True,False}
@attribute usb {True,False}
@attribute value {True,False}
@attribute vegetable {True,False}
@attribute vertically {True,False}
@attribute very {True,False}
@attribute voicemail {True,False}
@attribute void {True,False}
@attribute warped {True,False}
@attribute warranty {True,False}
@attribute washington {True,False}
@attribute waste {True,False}
@attribute water {True,False}
@attribute waterproof {True,False}
@attribute wear {True,False}
@attribute well {True,False}
@attribute when {True,False}
@attribute where {True,False}
@attribute which {True,False}
@attribute will {True,False}
@attribute wine {True,False}
@attribute word {True,False}
@attribute work {True,False}
@attribute yes {True,False}
@attribute youtube {True,False}
@attribute youtubing {True,False}
@attribute fuck1 {True,False}
@attribute fuck2 {True,False}
@attribute rating {'\'(-inf-1.8]\'','\'(1.8-2.6]\'','\'(2.6-3.4]\'','\'(3.4-4.2]\'','\'(4.2-inf)\''}

@data
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,'\'(4.2-inf)\''
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,'\'(4.2-inf)\''
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,'\'(3.4-4.2]\''
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,'\'(4.2-inf)\''
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,'\'(4.2-inf)\''
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,'\'(3.4-4.2]\''
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,'\'(4.2-inf)\''
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,'\'(4.2-inf)\''
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,'\'(-inf-1.8]\''
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,'\'(3.4-4.2]\''
