review_id,product_name,review_posted_date,review_header,review_comment_count,review_text,review_rating,review_author
42,,15 Apr 2018,Super cute!,,Really cute purse for the serious chicken lover. Great conversation starter.,5.0 ,
43,,13 Apr 2018,"A fun ""Hen Bag"" that I am waiting on my hens ...",,"A fun ""Hen Bag"" that I am waiting on my hens to start laying so that I can take eggs to work and wear my ""Chicken Lady"" outfit which is this purse and the Hen scarf, which is also very pretty.",5.0 ,
44,,04 Apr 2018,"Bought for my wife. We do raise chickens, ...",,"Bought for my wife. We do raise chickens, so why not have this right? She loves this purse. Zipper hole is a little on the smaller size. She has problems putting some things in her purse.",5.0 ,
45,,03 Apr 2018,Five Stars,,Very happy,5.0 ,
46,,01 Apr 2018,Great gift for the chicken lover!,,"My daughter loves chickens! This was a Christmas gift for her, she was so pleased!",5.0 ,
47,,24 Mar 2018,Three Stars,,The opening to the bag is too small to fit anything in it other than an egg,3.0 ,
48,,22 Mar 2018,Not to happy with it To pricey for the cuality it is,,Not to happy with it To pricey for the cuality it is,2.0 ,
49,,19 Mar 2018,Fun and durable.,,"This thing is hysterical. It arrived flat and folded, but a little time with a blow dryer and stuffing it with towels removed any wrinkles it had.",5.0 ,
50,,12 Mar 2018,Eggs-cellent Mothers day gift thank you!,,Can't wait to give this to my mom! Thank you!,5.0 ,
51,,11 Mar 2018,Loved it. I have carried it to work and ...,,Loved it. I have carried it to work and everywhere. Enjoying it.,5.0 ,
52,,06 Mar 2018,It has a tiny pocket on the inside.,,My wife loves it.,5.0 ,
53,,05 Mar 2018,Really fun idea.,,Really fun idea...problem in the design though...the opening was way too small...hard to put anything inside the purse....and would have to let it air out..had a strong rubber smell. Disappointed because I really liked the idea..,4.0 ,
54,,27 Feb 2018,Fav purse,,I love this bag. Only change I would make is the opening zipper is quite small and hard to fit most standard size wallets.,4.0 ,
55,,24 Feb 2018,Five Stars,,"a gift for my girlfriend. she loves it, hehe",5.0 ,
56,,24 Feb 2018,Crap,,A bad knock off of a product. Complete disappointment.,1.0 ,
57,,20 Feb 2018,Returned,,"Really cute bad but when you unzip it, it stinks. Zipper is not wide enough. Returned.",3.0 ,
58,,19 Feb 2018,"The opening zipper is just a bit to small. But it’s just so fun, I can put up with it.",,It’s just the funniest purse!,4.0 ,
60,,13 Feb 2018,Loved the whole idea but the opening was too small- ...,,Loved the whole idea but the opening was too small- I could not fit wallet so I use as my lunch bag!!,4.0 ,
61,,09 Feb 2018,Rubber chicken purse,,I love this unique purse the only problem is the opening is kind of small. Otherwise it is head turning awesome,5.0 ,
62,,06 Feb 2018,It is very cute. But a small opening for ...,,"It is very cute. But a small opening for my purse but that’s ok. It is definitely a talking Point,",5.0 ,
63,,02 Feb 2018,the PERFECT ANTI-designer bag ladies and gents,,"I first saw this bag when I was shopping at Anthropologie and this lady was carrying it. I *had* to ask where she got it from, cuteness overload. She had worn it so hard there were holes underneath the handles. I have moments where I love having a cheap chicken purse ( I believe I purchased it for about 20 back before this purse exploded on here-- surprised they bumped it to $40... IDK if its worth that price personally), as opposed to a designer bag worth hundred of thousands of dollars-- and this purse makes people smile! This is def a novelty purse, the zipper on the top is kinda small ( the opening in general). Makes it hard to grab aroung in the bag, might be easier to have 2-3pouches in there with all your things in them. That way you could just pull a pouch out, instead of fishing in your bag with one hand.The lining inside is a pale yellow, gets dirty real fast--black would be perfect. Out of all the bags I have, some designer some not, this bag gets me the most compliments, even Nordstrom sales people love it, go figure!",4.0 ,
64,,01 Feb 2018,Five Stars,,Good quality and nice workmanship,5.0 ,
65,,30 Jan 2018,Five Stars,,Super cute!,5.0 ,
66,,30 Jan 2018,One Star,,felt very cheap,1.0 ,
67,,28 Jan 2018,Awesome Chicken,,"I love this purse so much. I had one exactly like it, but lost it in a nasty breakup. I finally found it again on Amazon, and it's just like I remembered it. It's rubbery, but fairly large on the inside. The zipper is short, so you can't jam a large wallet through the opening. I get so many compliments on it!",5.0 ,
68,,24 Jan 2018,They were both delighted. This is such a cute purse,,"I purchased two of these as Christmas gifts for my granddaughters. They were both delighted. This is such a cute purse. As others mentioned the zipper opening is relatively small, but overall everyone loves this purse.",5.0 ,
69,,21 Jan 2018,Gave as gift... smaller opening then expected ...,,Gave as gift...smaller opening then expected but darling!,3.0 ,
70,,19 Jan 2018,Quirky Product,,Looks cool. I gave it as a gift to my son's girlfriend -- it was on her Amazon Wish List -- and she loved it!,5.0 ,
71,,18 Jan 2018,Five Stars,,Adorable.,5.0 ,
72,,18 Jan 2018,Five Stars,,Loved the bag except the opening is rather small.,5.0 ,
73,,31 Dec 2017,This is the best handbag that has ever existed,,"Never have I been so excited to carry a purse. This is the best handbag that has ever existed. It’s roomy, and can fit at minimum a 10 pack of nuggets! I feel completely safe with it, as who would steal it???",5.0 ,
74,,28 Dec 2017,Two Stars,,Smells really bad. The zipper is too small. The bag does not open wide enough. Returning it.,2.0 ,
75,,27 Dec 2017,Awesome conversation starter!,,Love this unique purse!!,5.0 ,
76,,15 Dec 2017,Five Stars,,"Super cute bag, the rubber smell is a little strong at first but airs out fine",5.0 ,
77,,13 Dec 2017,"My wife loves this purse, and it freaks out ...",,"My wife loves this purse, and it freaks out our yard chickens when we set it down by the coup. Lol",5.0 ,
78,,07 Dec 2017,My aunt is gonna flip!!!!,,My aunt saw this at a wedding and went crazy... She lives chickens.... She will love this as her Xmas gift!!!!!,5.0 ,
79,,05 Dec 2017,Love it!,,"I LOVE this bag. I get nothing but compliments, and it's water proof.",5.0 ,
80,,05 Dec 2017,"this is a nice purse, the zipper on it makes it hard ...",,"this is a nice purse, the zipper on it makes it hard to put in and get things out of your purse",5.0 ,
81,,29 Nov 2017,Attention getter!,,I bought 3 for we girls. Goes great with chicken socks. LOL,5.0 ,
82,,18 Nov 2017,Five Stars,,Very cute and nicely made. Fun item for sure!,5.0 ,
83,,18 Nov 2017,I love Henrietta!!!,,I absolutely love this purse! So does everyone else... The zipper doesn't bother me as much as it does some... Great product!,5.0 ,
84,,16 Nov 2017,Five Stars,,THIS IS THE BEST BAG I HAVE EVER PURCHASED!!!! LOVE ME SOME HENS,5.0 ,
85,,16 Nov 2017,It's roomy and pretty much waterproof (for rainy days),,This bag was so weird that when I saw it I knew I had to have it. I work at a local produce stand/market and we have free roaming chickens on premises... I knew this bag would be a hit! It's roomy and pretty much waterproof (for rainy days). Only thing I don't like about it is the opening. Kinda small. Also its just one large pocket inside.,5.0 ,
86,,21 Oct 2017,I'm so in love with this purse,,"This is the silliest, cutest purse that I have ever owned. I'm so in love with this purse.",5.0 ,
87,,19 Oct 2017,Five Stars,,Best thing I've ever purchased.,5.0 ,
88,,16 Oct 2017,"nice, cheaply made",,"nice, cheaply made, but fun, the color is not even close to the one in the picture, more like a really light yellow.",3.0 ,
89,,15 Oct 2017,Cute!,,My favorite thing ever. I get tons of compliments when I take this out. Well made! Fits more than I expected.,5.0 ,
90,,05 Oct 2017,But it has been fun to have,,can't really use this as the opening on the top is too small. But it has been fun to have.,1.0 ,
91,,21 Sep 2017,Love just doesn't cut it!,,I love it... the opening is a little small but it works just great... super roomy. Its so much fun hearing all the comments when i carry it!! Fast shipping!,5.0 ,
92,,17 Sep 2017,Five Stars,,This purse is great!! Bought several as gifts for relatives in Alabama ....they raise chickens and love them!!,5.0 ,
93,,14 Sep 2017,Hole is a little small,,I can't fit some items through the hole but the purse looks just like the picture.,4.0 ,
94,,10 Sep 2017,Five Stars,,"It's a rubber chicken purse, what more is there to say?",5.0 ,
95,,29 Aug 2017,People love it almost as much as I do,,"Lots of compliments. People love it almost as much as I do. The opening is short-enuf for your hand or looking for something, not both lol. Make sure your wallet fits otherwise it's amazing. Love this purse and recommend it to anyone.",5.0 ,
96,,25 Aug 2017,it's really cute and funny. It wasn't as bright yellow as I expected,,"I got this as a gift for someone, it's really cute and funny. It wasn't as bright yellow as I expected, and it was kind of difficult to get my hand into the opening as it is relatively small. Otherwise it's awesome though.",4.0 ,
97,,25 Aug 2017,Five Stars,,Love this purse. Wish zipper opening was bigger. Will order again.,5.0 ,
98,,21 Aug 2017,Five Stars,,Exactly as expected!,5.0 ,
99,,19 Aug 2017,Five Stars,,Love this! So funny!,5.0 ,
100,,15 Aug 2017,... a 9 inch zipper & now my hen-bag is perfect.,,I replaced the smaller zipper with a 9 inch zipper & now my hen-bag is perfect.,5.0 ,
