review_id,product_name,review_author,review_rating,review_comment_count,review_posted_date,review_text,review_header
42,,,5.0 ,,15 Apr 2018,,Super cute!
43,,,5.0 ,,13 Apr 2018,,"A fun ""Hen Bag"" that I am waiting on my hens ..."
44,,,5.0 ,,04 Apr 2018,,"Bought for my wife. We do raise chickens, ..."
45,,,5.0 ,,03 Apr 2018,,Five Stars
46,,,5.0 ,,01 Apr 2018,,Great gift for the chicken lover!
47,,,3.0 ,,24 Mar 2018,,Three Stars
48,,,2.0 ,,22 Mar 2018,,Not to happy with it To pricey for the cuality it is
49,,,5.0 ,,19 Mar 2018,,Fun and durable.
50,,,5.0 ,,12 Mar 2018,,Eggs-cellent Mothers day gift thank you!
51,,,5.0 ,,11 Mar 2018,,Loved it. I have carried it to work and ...
52,,,5.0 ,,06 Mar 2018,,It has a tiny pocket on the inside.
53,,,4.0 ,,05 Mar 2018,,Really fun idea.
54,,,4.0 ,,27 Feb 2018,,Fav purse
55,,,5.0 ,,24 Feb 2018,,Five Stars
56,,,1.0 ,,24 Feb 2018,,Crap
57,,,3.0 ,,20 Feb 2018,,Returned
58,,,4.0 ,,19 Feb 2018,,"The opening zipper is just a bit to small. But it’s just so fun, I can put up with it."
59,,,3.0 ,,13 Feb 2018,,Three Stars
60,,,4.0 ,,13 Feb 2018,,Loved the whole idea but the opening was too small- ...
61,,,5.0 ,,09 Feb 2018,,Rubber chicken purse
62,,,5.0 ,,06 Feb 2018,,It is very cute. But a small opening for ...
63,,,4.0 ,,02 Feb 2018,,the PERFECT ANTI-designer bag ladies and gents
64,,,5.0 ,,01 Feb 2018,,Five Stars
65,,,5.0 ,,30 Jan 2018,,Five Stars
66,,,1.0 ,,30 Jan 2018,,One Star
67,,,5.0 ,,28 Jan 2018,,Awesome Chicken
68,,,5.0 ,,24 Jan 2018,,They were both delighted. This is such a cute purse
69,,,3.0 ,,21 Jan 2018,,Gave as gift... smaller opening then expected ...
70,,,5.0 ,,19 Jan 2018,,Quirky Product
71,,,5.0 ,,18 Jan 2018,,Five Stars
