@relation 'parseResultFiles\\smart_review_data.arff-weka.filters.unsupervised.attribute.Reorder-R1-3,5-last,4-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rlast-unset-class-temporarily'

@attribute id numeric
@attribute product_name {'crosley cr8005a-tu cruiser portable 3-speed turntable turquoise','cuisinart mcp193-18n multiclad pro stainless steel 3-quart saucepan with cover','dymo labelmanager 280 rechargeable hand-held label maker (1815990)','everydrop by whirlpool refrigerator water filter 1 (pack of 1)','iron gym total upper body workout bar','jbl clip 2 waterproof portable bluetooth speaker (teal)','motorola moto g (3rd generation) no contract phone (virgin mobile) - retail packaging','ninja professional blender (bl610)','oster cordless electric wine bottle opener with foil cutter ffp','rolodex deep desk drawer organizer metal mesh black (22131)','samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)','set of ten finger hands finger puppets','the crystal bible','uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x)','viviscal extra strength hair nutrient tablets 90-tablets'}
@attribute type {review,title}
@attribute stop_p numeric
@attribute meaning_p numeric
@attribute proper_noun_p numeric
@attribute noun_p numeric
@attribute pronoun_p numeric
@attribute verb_p numeric
@attribute adverb_p numeric
@attribute adjective_p numeric
@attribute wh-word_p numeric
@attribute rating {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}

@data
42,'samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)',review,0.374436,0.625564,0.001504,0.121805,0.007519,0.115789,0.034586,0.057143,0.007519,'\'B5of5\''
42,'samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)',title,0.375,0.625,0,0.375,0,0.25,0,0.125,0,'\'B5of5\''
43,'samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)',review,0.247934,0.752066,0,0.22314,0.024793,0.107438,0.041322,0.099174,0,'\'B4of5\''
43,'samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)',title,0.5,0.5,0,0.333333,0,0,0.166667,0.166667,0,'\'B4of5\''
44,'samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)',review,0.420233,0.579767,0,0.143969,0.023346,0.116732,0.035019,0.058366,0.007782,'\'B5of5\''
44,'samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)',title,0.363636,0.636364,0,0.181818,0.090909,0.181818,0,0.090909,0,'\'B5of5\''
45,'samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)',review,0.465909,0.534091,0,0.238636,0.045455,0.102273,0.034091,0.056818,0.011364,'\'B5of5\''
45,'samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)',title,0.333333,0.666667,0,0.333333,0,0.333333,0,0,0,'\'B5of5\''
46,'samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)',review,0.394366,0.605634,0,0.225352,0.014085,0.070423,0.042254,0.140845,0.014085,'\'B5of5\''
46,'samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)',title,0.333333,0.666667,0,0.333333,0.333333,0,0,0,0,'\'B5of5\''
