@relation 'smart_review_data-weka.filters.unsupervised.attribute.Reorder-R1-3,5-last,4-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rlast-unset-class-temporarily'

@attribute id numeric
@attribute product_name {'rubber chicken purse','set of ten finger ha','crosley cr8005a-tu c','jbl clip 2 waterproo','ninja professional b','oster cordless elect','iron gym total upper','everydrop by whirlpo','uvex skyper blue lig','rolodex deep desk dr','dymo labelmanager 28','the crystal bible','cuisinart mcp193-18n','viviscal extra stren','the official bs butt'}
@attribute type {review,title}
@attribute num_words numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute rating {'\'(-inf-1.8]\'','\'(1.8-2.6]\'','\'(2.6-3.4]\'','\'(3.4-4.2]\'','\'(4.2-inf)\''}

@data
42,'rubber chicken purse',review,9,0.333333,0.666667,0,0.222222,0,0.333333,0.222222,0,0,0.555556,'\'(-inf-1.8]\''
42,'rubber chicken purse',title,10,0.4,0.6,0,0.4,0,0,0.1,0.2,0,0.7,'\'(-inf-1.8]\''
43,'rubber chicken purse',review,13,0.307692,0.692308,0,0.384615,0,0,0.076923,0.230769,0,0.692308,'\'(4.2-inf)\''
43,'rubber chicken purse',title,3,0,1,0,0.333333,0,0,0,0.333333,0,0.666667,'\'(4.2-inf)\''
44,'rubber chicken purse',review,47,0.510638,0.489362,0,0.212766,0.021277,0.170213,0.06383,0.021277,0.021277,0.489362,'\'(4.2-inf)\''
44,'rubber chicken purse',title,14,0.428571,0.571429,0,0.214286,0.071429,0.214286,0,0.071429,0,0.857143,'\'(4.2-inf)\''
45,'rubber chicken purse',review,42,0.571429,0.428571,0,0.238095,0.095238,0.166667,0.071429,0.047619,0.02381,0.642857,'\'(4.2-inf)\''
45,'rubber chicken purse',title,11,0.545455,0.454545,0,0.272727,0.181818,0.181818,0,0,0,0.727273,'\'(4.2-inf)\''
46,'rubber chicken purse',review,2,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,'\'(4.2-inf)\''
46,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
47,'rubber chicken purse',review,18,0.444444,0.555556,0,0.166667,0.166667,0.166667,0.055556,0.055556,0,0.722222,'\'(4.2-inf)\''
47,'rubber chicken purse',title,7,0.285714,0.714286,0,0.428571,0,0,0,0.142857,0,0.714286,'\'(4.2-inf)\''
48,'rubber chicken purse',review,17,0.647059,0.352941,0,0.235294,0.058824,0.117647,0.058824,0.117647,0,0.588235,'\'(2.6-3.4]\''
48,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(2.6-3.4]\''
49,'rubber chicken purse',review,12,0.75,0.25,0,0.083333,0.083333,0.166667,0.083333,0.083333,0,0.416667,'\'(1.8-2.6]\''
49,'rubber chicken purse',title,12,0.75,0.25,0,0.083333,0.083333,0.166667,0.083333,0.083333,0,0.416667,'\'(1.8-2.6]\''
50,'rubber chicken purse',review,30,0.566667,0.433333,0,0.2,0.033333,0.166667,0,0.133333,0,0.666667,'\'(4.2-inf)\''
50,'rubber chicken purse',title,4,0.5,0.5,0,0.25,0,0,0,0.25,0,0.5,'\'(4.2-inf)\''
51,'rubber chicken purse',review,13,0.384615,0.615385,0,0.153846,0.153846,0.153846,0.076923,0,0,0.384615,'\'(4.2-inf)\''
51,'rubber chicken purse',title,7,0.142857,0.857143,0,0.428571,0.142857,0.142857,0,0.142857,0,0.714286,'\'(4.2-inf)\''
52,'rubber chicken purse',review,15,0.666667,0.333333,0,0.066667,0.066667,0.333333,0.066667,0,0,0.4,'\'(4.2-inf)\''
52,'rubber chicken purse',title,11,0.636364,0.363636,0,0.090909,0.090909,0.363636,0,0,0,0.545455,'\'(4.2-inf)\''
53,'rubber chicken purse',review,5,0.6,0.4,0,0.2,0.4,0.2,0,0,0,0.8,'\'(4.2-inf)\''
53,'rubber chicken purse',title,9,0.555556,0.444444,0,0.222222,0.111111,0.111111,0,0.111111,0,0.777778,'\'(4.2-inf)\''
54,'rubber chicken purse',review,45,0.311111,0.688889,0,0.266667,0.022222,0.155556,0.044444,0.111111,0,0.533333,'\'(3.4-4.2]\''
54,'rubber chicken purse',title,4,0.25,0.75,0,0.25,0,0,0.25,0.25,0,0.5,'\'(3.4-4.2]\''
