product_name,review_score,stop_words,processed_WC,meaningful_words,stop_percent,meaning_percent,initial_WC
Samsung Galaxy J7 - No Contract Phone - White - (Boost Mobile)(Carrier locked phone ),5.0 ,"{'with', 'have'}",8,"{'Boostmobile', 'phone', '!', 'Best', 'owned', 'I'}",0.25,0.75,8
Samsung Galaxy J7 - No Contract Phone - White - (Boost Mobile)(Carrier locked phone ),4.0 ,"{'for', 'the'}",6,"{'Very', 'phone', 'good', 'money'}",0.3333333333333333,0.6666666666666666,6
Samsung Galaxy J7 - No Contract Phone - White - (Boost Mobile)(Carrier locked phone ),5.0 ,"{'with', 'in', 'it'}",11,"{'love', ""'m"", '...', 'phone', 'GORGEOUS', '.', '!', 'I'}",0.2727272727272727,0.7272727272727273,11
Samsung Galaxy J7 - No Contract Phone - White - (Boost Mobile)(Carrier locked phone ),5.0 ,{'the'},3,"{'Love', 'phone'}",0.3333333333333333,0.6666666666666666,3
Samsung Galaxy J7 - No Contract Phone - White - (Boost Mobile)(Carrier locked phone ),5.0 ,{'it'},3,"{'.', 'Worth'}",0.3333333333333333,0.6666666666666666,3
Samsung Galaxy J7 - No Contract Phone - White - (Boost Mobile)(Carrier locked phone ),5.0 ,"{'a', 'for', 'is'}",8,"{'Mobile', 'Boost', 'great', 'phone', 'This'}",0.375,0.625,8
Motorola Moto G (3rd Generation) No Contract Phone (Virgin Mobile) - Retail Packaging,5.0 ,set(),12,"{'Buyers', 'Excellent', 'Weatherproof', 'Phone', 'Users', 'Design', 'For', 'Value-Conscious', 'Rugged', '-', '&', 'Intermediate'}",0.0,1.0,12
Motorola Moto G (3rd Generation) No Contract Phone (Virgin Mobile) - Retail Packaging,5.0 ,{'for'},6,"{'Mobile', '.', 'Virgin', 'good', 'Very'}",0.16666666666666666,0.8333333333333334,6
Motorola Moto G (3rd Generation) No Contract Phone (Virgin Mobile) - Retail Packaging,4.0 ,"{'a', 'over', 'the', 'is'}",11,"{'Galaxy', 'The', 'upgrade', 'S2', 'significant', 'G', 'Moto'}",0.36363636363636365,0.6363636363636364,11
"Viviscal Extra Strength Hair Nutrient Tablets, 90-Tablets",4.0 ,set(),3,"{'I', 'Like', 'Viviscal'}",0.0,1.0,3
"Viviscal Extra Strength Hair Nutrient Tablets, 90-Tablets",1.0 ,{'of'},4,"{'Suspicious', 'Product', 'Authenticity'}",0.25,0.75,4
"Viviscal Extra Strength Hair Nutrient Tablets, 90-Tablets",1.0 ,set(),13,"{'BY', 'OFFICIAL', 'RETAILERS', 'NOT', 'ITEM', 'VIVISCAL', 'SOLD', 'RIP', '.', 'OTHER', 'OFF', 'SAME', 'THE'}",0.0,1.0,14
"Viviscal Extra Strength Hair Nutrient Tablets, 90-Tablets",1.0 ,"{'does', 'this', 'on'}",10,"{""n't"", 'FAKE', 'page', 'product', ';', 'work', 'REVIEWS'}",0.3,0.7,10
"Viviscal Extra Strength Hair Nutrient Tablets, 90-Tablets",3.0 ,"{'can', 'are', 'if', 'them', 'for', 'out', 'you'}",15,"{'secure', 'better', 'breakouts', 'pills', 'Ireland-made', '.', 'Watch', '!'}",0.4666666666666667,0.5333333333333333,15
"Viviscal Extra Strength Hair Nutrient Tablets, 90-Tablets",1.0 ,set(),3,"{'Pills', 'turned', 'Black'}",0.0,1.0,3
Cuisinart MCP193-18N MultiClad Pro Stainless Steel 3-Quart Saucepan with Cover,5.0 ,set(),3,"{'Cookware', 'Great', '!'}",0.0,1.0,3
Cuisinart MCP193-18N MultiClad Pro Stainless Steel 3-Quart Saucepan with Cover,5.0 ,set(),2,"{'Great', 'Value'}",0.0,1.0,2
Cuisinart MCP193-18N MultiClad Pro Stainless Steel 3-Quart Saucepan with Cover,5.0 ,"{'a', 'to', 'down', 'and', 'it', 'this', 'few'}",15,"{'Narrowed', 'IS', 'THIS', '.', 'others', 'ONE', '?', 'THE'}",0.4666666666666667,0.5333333333333333,15
The Crystal Bible,5.0 ,set(),3,"{'Great', '.', 'series'}",0.0,1.0,3
The Crystal Bible,1.0 ,"{'for', 'the', 'only', 'is'}",11,"{'...', 'The', 'edition', 'This', 'review', '.', 'kindle'}",0.36363636363636365,0.6363636363636364,11
The Crystal Bible,2.0 ,set(),3,"{'No', '!', 'pictures'}",0.0,1.0,3
The Crystal Bible,5.0 ,"{'and', 'just', 'into', 'the', 'am', 'of'}",11,"{'energy', 'realm', '...', 'venturing', 'I'}",0.5454545454545454,0.45454545454545453,11
The Crystal Bible,5.0 ,{'is'},6,"{'really', 'awesome', '!', 'This', 'truly'}",0.16666666666666666,0.8333333333333334,6
The Crystal Bible,5.0 ,set(),2,"{'Pictures', 'Beautiful'}",0.0,1.0,2
The Crystal Bible,3.0 ,{'than'},4,"{'Smaller', '.', 'expected'}",0.25,0.75,4
The Crystal Bible,1.0 ,{'at'},6,"{'incomplete', 'grossly', ',', 'best', 'Mediocre'}",0.16666666666666666,0.8333333333333334,6
DYMO LabelManager 280 Rechargeable Hand-Held Label Maker (1815990),4.0 ,{'with'},8,"{'handheld', 'QWERTY', 'label', '.', 'printer', 'Nice', 'keyboard'}",0.125,0.875,8
DYMO LabelManager 280 Rechargeable Hand-Held Label Maker (1815990),5.0 ,set(),3,"{'!', 'promise', 'I'}",0.0,1.0,3
DYMO LabelManager 280 Rechargeable Hand-Held Label Maker (1815990),5.0 ,set(),6,"{'I', 'great', '.', 'guess', 'It', ""'s""}",0.0,1.0,6
DYMO LabelManager 280 Rechargeable Hand-Held Label Maker (1815990),5.0 ,set(),4,"{'Master', 'Labeling', '!', 'The'}",0.0,1.0,4
DYMO LabelManager 280 Rechargeable Hand-Held Label Maker (1815990),5.0 ,"{'a', 'you', 'be', 'than', 'can'}",11,"{'labeler', 'think', ""'d"", 'More', 'fun', '.'}",0.45454545454545453,0.5454545454545454,11
DYMO LabelManager 280 Rechargeable Hand-Held Label Maker (1815990),4.0 ,set(),4,"{'supply', 'sold', 'separately', 'Power'}",0.0,1.0,4
"Rolodex Deep Desk Drawer Organizer, Metal Mesh, Black (22131)",5.0 ,set(),2,"{'Caddy', 'Make-up'}",0.0,1.0,2
"Rolodex Deep Desk Drawer Organizer, Metal Mesh, Black (22131)",5.0 ,set(),5,"{'FAST', 'Great', 'product', ',', 'Shipping'}",0.0,1.0,5
"Rolodex Deep Desk Drawer Organizer, Metal Mesh, Black (22131)",5.0 ,set(),3,"{'Good', 'multipurpose', 'item'}",0.0,1.0,3
"Rolodex Deep Desk Drawer Organizer, Metal Mesh, Black (22131)",5.0 ,"{'for', 'this'}",7,"{'design', 'reasons', 'many', 'like', 'I'}",0.2857142857142857,0.7142857142857143,7
"Rolodex Deep Desk Drawer Organizer, Metal Mesh, Black (22131)",5.0 ,"{'with', 'my', 'in'}",11,"{'This', 'Desk', '!', 'Everything', 'Drawer', 'Find', 'I', 'Can'}",0.2727272727272727,0.7272727272727273,11
"Rolodex Deep Desk Drawer Organizer, Metal Mesh, Black (22131)",5.0 ,{'and'},3,"{'Sturdy', 'Useful'}",0.3333333333333333,0.6666666666666666,3
"Rolodex Deep Desk Drawer Organizer, Metal Mesh, Black (22131)",5.0 ,"{'a', 'about', 'or', 'its', 'is', 'of', 'for'}",20,"{'...', 'post', 'odds', 'hold', 'center', 'note', '5', 'perfect', 'big', 'would', 'pretty', 'lotlke', 'packs'}",0.35,0.65,21
Uvex Skyper Blue Light Blocking Computer Glasses with SCT-Orange Lens (S1933X),5.0 ,"{'a', 'so', 'your', 'just', 'the', 'be', 'with', 'few'}",17,"{'melatonin', 'things', 'body', 'blue', 'Blocks', '-', 'careful', 'naturally', 'produces'}",0.47058823529411764,0.5294117647058824,17
Uvex Skyper Blue Light Blocking Computer Glasses with SCT-Orange Lens (S1933X),5.0 ,set(),4,"{'Sleep', 'Intended', 'Nature', 'Like'}",0.0,1.0,4
Uvex Skyper Blue Light Blocking Computer Glasses with SCT-Orange Lens (S1933X),5.0 ,"{'and', 'been', 'have'}",13,"{'resolved', 'problems', 'My', 'chronic', 'happy', 'Sleeping', 'well', 'waking', 'sleep', '!'}",0.23076923076923078,0.7692307692307693,14
Uvex Skyper Blue Light Blocking Computer Glasses with SCT-Orange Lens (S1933X),5.0 ,"{'to', 'when', 'it', 'this', 'am'}",12,"{'things', 'like', 'super', 'Well', 'skeptical', 'comes', 'I'}",0.4166666666666667,0.5833333333333334,12
