review_id,product_name,product_price,review_header,review_rating,review_text,review_comment_count,review_author,review_posted_date
42,"rubber chicken purse - the ""hen bag"" handbag",39.99,"Novelty item, not for heavy items or everyday use",1.0 ,"Poorly made, does not fit photo description.",,,24 Apr 2018
43,"rubber chicken purse - the ""hen bag"" handbag",39.99,Three Stars,3.0 ,The opening to the bag is too small to fit anything in it other than an egg,,,24 Mar 2018
44,"rubber chicken purse - the ""hen bag"" handbag",39.99,Not to happy with it To pricey for the cuality it is,2.0 ,Not to happy with it To pricey for the cuality it is,,,22 Mar 2018
45,"rubber chicken purse - the ""hen bag"" handbag",39.99,Crap,1.0 ,A bad knock off of a product. Complete disappointment.,,,24 Feb 2018
46,"rubber chicken purse - the ""hen bag"" handbag",39.99,Returned,3.0 ,"Really cute bad but when you unzip it, it stinks. Zipper is not wide enough. Returned.",,,20 Feb 2018
48,"rubber chicken purse - the ""hen bag"" handbag",39.99,One Star,1.0 ,felt very cheap,,,30 Jan 2018
49,"rubber chicken purse - the ""hen bag"" handbag",39.99,Gave as gift... smaller opening then expected ...,3.0 ,Gave as gift...smaller opening then expected but darling!,,,21 Jan 2018
50,"rubber chicken purse - the ""hen bag"" handbag",39.99,Two Stars,2.0 ,Smells really bad. The zipper is too small. The bag does not open wide enough. Returning it.,,,28 Dec 2017
51,"rubber chicken purse - the ""hen bag"" handbag",39.99,"nice, cheaply made",3.0 ,"nice, cheaply made, but fun, the color is not even close to the one in the picture, more like a really light yellow.",,,16 Oct 2017
52,"rubber chicken purse - the ""hen bag"" handbag",39.99,But it has been fun to have,1.0 ,can't really use this as the opening on the top is too small. But it has been fun to have.,,,05 Oct 2017
53,"rubber chicken purse - the ""hen bag"" handbag",39.99,Didn't like the pale color,2.0 ,Returned. Didn't like the pale color; expected it to be yellow,,,02 Aug 2017
54,"rubber chicken purse - the ""hen bag"" handbag",39.99,but funny.,3.0 ,"Strong plastic smell, doesn't hold shape well, but funny.",,,28 Jul 2017
55,"rubber chicken purse - the ""hen bag"" handbag",39.99,i love this bag and had to have it,3.0 ,i love this bag and had to have it! but when i recieved it the handle on this bag was already messing up and coming apart.,,,28 Jul 2017
56,"rubber chicken purse - the ""hen bag"" handbag",39.99,And FYI- it looks exactly like the picture---- like real chicken skin,1.0 ,Smells toxic! Returned for full refund- no way is my 10 year having something that smells this toxic! And FYI- it looks exactly like the picture---- like real chicken skin.,,,25 May 2017
57,"rubber chicken purse - the ""hen bag"" handbag",39.99,Two Stars,2.0 ,The zip opening at the top of the bag is too small to get into the bag.,,,18 Mar 2017
58,"rubber chicken purse - the ""hen bag"" handbag",39.99,Very nice..,2.0 ,Very nice... but Zipper is soooo small. Can't even get my wallet in it... have to reach my hans in it and have to geel wat I need... can not reach and see at the same time.. really a pitty,,,20 Jan 2017
59,"rubber chicken purse - the ""hen bag"" handbag",39.99,"Fun bag, but not practical",3.0 ,"Ordered this as a ""fun"" bag as this is the Year of the Rooster 2017. It is large enough to hold a wallet, an umbrella, a pocket camera, a handphone, a fat toiletry pouch that holds all my ""girl items"". My only dislike is the length/size of the zip opening on top of the bag - it is 6 inches (15cm). To put a regular size ladies wallet or an umbrella inside the bag, I had to slip the item in sideways (not length-wise). I think it will be hard to have to maneuver an item to it's shorter side inside the bag just to take it out of the bag. And of course if you have ""big"" hands, it will be a struggle to get your hand even inside the bag. Even with my hands (XS Gloves American-Size), it was not easy for me. And the straps are not long enough to carry the bag on my shoulder.",,,09 Jan 2017
60,"rubber chicken purse - the ""hen bag"" handbag",39.99,small opening hard to get into,2.0 ,Cute but the opening is very small. It is hard to get things in and out.,,,30 Dec 2016
61,"rubber chicken purse - the ""hen bag"" handbag",39.99,bummer,1.0 ,you all tricked me!!! i thought this was going to be great. it was discolored. wanky. bad. just not good. i had so many high hopes.,,,08 Nov 2016
62,"rubber chicken purse - the ""hen bag"" handbag",39.99,It came when we opened it was plastic and that's not completely bad it was semi waterproof,2.0 ,Well we bought my mom the chicken purse and we were so excited. It came when we opened it was plastic and that's not completely bad it was semi waterproof. But as we looked more into it and we liked it. We were going to put all of the stuff in the purse but the whole/ zipper was too small you could not put anything in it. The purse also had a really insane smell. But for women who don't like big purses with small wholes I do not recommend this for you. Even though it is really cool it looks like a pretty good chicken the only problem is that it has a lot of space you can’t put your things in there. I think it just needs to shrink in size and open the zipper more and it will be fine and pleas get rid of the smell.,,,12 Sep 2016
63,"rubber chicken purse - the ""hen bag"" handbag",39.99,Three Stars,3.0 ,"This is adorable, but it's cheaper elsewhere on Amazon! Try here: https://www.amazon.com/Rubber-Chicken-Purse-Hen-Handbag/dp/B001G8N95I/ref=pd_sim_sbs_21_1?ie=UTF8&psc=1&refRID=KT7RTDMG422C624CB07P",,,30 Aug 2016
64,"rubber chicken purse - the ""hen bag"" handbag",39.99,One Star,1.0 ,SMELLS AWFUL!! i washed it a few times with mild soap and STILL!!,,,04 Jul 2016
65,"rubber chicken purse - the ""hen bag"" handbag",39.99,Like,1.0 ,Like bag but thought chicken would be bright yellow as in picture. The tubing in handles moves out and about a bit. Love concept though,,,21 Jun 2016
66,"rubber chicken purse - the ""hen bag"" handbag",39.99,You may have to pay to return it so if your not sure...think again...,3.0 ,I purchased this bag thru Amazon and I agree the opening is quite small which means your wallet would have to be small to come out.. I decided not to keep it but they were going to charge me $6.00 plus change to return it....Shame on them...So buyer beware if you don't love it its going to cost you to return it...I WOULD RATHER GIVE IT AWAY BEFORE I PAY THEM TO HAVE ME DELVIER IT TO THEIR AMAZON STORE.AND PAY TO RETURN IT..VERY DISAPPOINTED BUT WILL NOT MAKE THAT MISTAKE AGAIN AMAZON....,,,05 Jun 2016
67,"rubber chicken purse - the ""hen bag"" handbag",39.99,Three Stars,3.0 ,"the zippered opening is quite small and restrictive, but the bag in whole is a hoot!",,,15 Mar 2016
68,"rubber chicken purse - the ""hen bag"" handbag",39.99,"This is poor quality, so when you get it and want ...",1.0 ,"This is poor quality, so when you get it and want to send it back because you hate it they're going to charge you to send it back!! I wouldn't pay one cent for this let alone $6",,,16 Feb 2016
69,"rubber chicken purse - the ""hen bag"" handbag",39.99,"Do not buy this you will regret, not functional",1.0 ,"Do not buy this! !!!! The zipper is so short I can get my hand in but to grasp my wallet and pull or is a hassle. Used one day and was so frustrated I dumped the contents and tossed in tbe closet. Cute idea but the designer needed to think a minute. Zipper needs to be twice as long. The tiny inside pocket is too high to be functional. Need to drop it 4 inches to be useable. Do not buy, you will be disappointed.",,,26 Dec 2015
70,"rubber chicken purse - the ""hen bag"" handbag",39.99,Cute purse. The opening is way to small!,3.0 ,Cute purse. The opening is way to small!,,,21 Oct 2015
71,"rubber chicken purse - the ""hen bag"" handbag",39.99,LOVE the design,3.0 ,"LOVE the design, but the rubber started to tear along the tail end of the bag after a week. :( I am a bummed out chicken lover",,,02 Oct 2015
72,"rubber chicken purse - the ""hen bag"" handbag",39.99,Three Stars,3.0 ,the zipper in the top REALLY is too small.,,,14 May 2015
73,"rubber chicken purse - the ""hen bag"" handbag",39.99,One Star,1.0 ,Item is discolored.,,,11 Mar 2015
74,"rubber chicken purse - the ""hen bag"" handbag",39.99,"Really fun purse, but smells awful",3.0 ,"Really fun purse, but smells awful. The opening is not very wide, so it makes it difficult to get things in and out of it. The lining seemed really cheap and I was afraid it would tear in no time. I really wanted to love this purse, but ultimately ended up sending it back.",,,12 Feb 2015
75,"rubber chicken purse - the ""hen bag"" handbag",39.99,chicken purse,2.0 ,"I liked the looks of this purse. I thought it was right cute and it is cute. But - I could not get my big ol' hands inside of it. It just did not work for me at all. Somebody should have warned me that this purse was for people with little hands but they didn't. So don't buy this purse unless you have little bitty, tiny hands to fit into the chicken!",,,08 Feb 2015
76,"rubber chicken purse - the ""hen bag"" handbag",39.99,She collects chickens so I know she will love it.,3.0 ,Very cute and it is a gift for my mother in law. She collects chickens so I know she will love it.,,,28 Jan 2015
77,"rubber chicken purse - the ""hen bag"" handbag",39.99,Two Stars,2.0 ,Loved the idea of this bag. The chemical smell was just too overwhelming! Had to send it back.,,,28 Dec 2014
78,"rubber chicken purse - the ""hen bag"" handbag",39.99,I'm pretty unhappy about it,1.0 ,I just received my chicken purse today and there's a two inch hole in the seams. I'm pretty unhappy about it. Not that I expect the highest quality from a chicken purse but I certainly didn't expect holes.,,,23 Sep 2014
79,"rubber chicken purse - the ""hen bag"" handbag",39.99,Everyone who sees this bag loves it. The zipper ...,3.0 ,"Everyone who sees this bag loves it. The zipper hole is way to small and the inside pocket is in the way. But holds a lot, may take 20 mins to find ur keys in it",,,12 Sep 2014
80,"rubber chicken purse - the ""hen bag"" handbag",39.99,yeah,2.0 ,The opening could be better,,,11 Sep 2014
81,"rubber chicken purse - the ""hen bag"" handbag",39.99,skip this one,2.0 ,excellant quailty heavy duty but ugly as hell. the red eyed chicken has a demon like look.,,,08 Sep 2014
82,"rubber chicken purse - the ""hen bag"" handbag",39.99,"I found it to be very cute, but the ...",3.0 ,"I found it to be very cute, but the zipper is to small to get things in and out of the bag..",,,25 Aug 2014
83,"rubber chicken purse - the ""hen bag"" handbag",39.99,Three Stars,3.0 ,very small opening,,,19 Aug 2014
84,"rubber chicken purse - the ""hen bag"" handbag",39.99,Two Stars,2.0 ,zipper too small,,,15 Aug 2014
85,"rubber chicken purse - the ""hen bag"" handbag",39.99,flat,3.0 ,"Loved the purse...so cute! But, it's so flat, thought there was something to blow it up, I saw a video and she just blow it up??????? was the video wrong??? It would take alot to fill the purse with your stuff to make it round.",,,10 Jul 2014
86,"rubber chicken purse - the ""hen bag"" handbag",39.99,Three Stars,3.0 ,Cute. But the zipper is so small it makes the bag unuseable.,,,06 Jul 2014
87,"rubber chicken purse - the ""hen bag"" handbag",39.99,Not very well made,2.0 ,"It was a thinner, cheaper material then I thought it would be, even though my sister loved the gift, it didn't seem like it would hold up very long at all.",,,10 Jun 2014
88,"rubber chicken purse - the ""hen bag"" handbag",39.99,NOT made in Italy,3.0 ,"It's fun, quality is what you would expect, mild plasticky smell. I bought it because the description says, ""Origin: ITALY"", so I thought it would be a bargain. The bag is stamped MADE IN CHINA. That brings to mind quality issues (lead in paint, toxic plastics, etc), and the fact that in China, this probably cost $1. Maybe my expectations were too high?",,,07 Jun 2014
89,"rubber chicken purse - the ""hen bag"" handbag",39.99,to large,3.0 ,iT WAS VERY NICE. I bought it for my granddaughter for Easter. We thought it was much larger than we expected.,,,13 May 2014
90,"rubber chicken purse - the ""hen bag"" handbag",39.99,Cute Easter Gag,3.0 ,"I bought this bag to carry to work on April 1st and also to use on Easter. It got lots of smiles. I wish the handles were just a little bit longer, it's tough to carry over my shoulder. Also, the zipper on top is too small, makes it difficult to reach in and out to retrieve keys, tissues, etc. But all in all it served the purpose - to elicit a smile or two from my friends.",,,22 Apr 2014
91,"rubber chicken purse - the ""hen bag"" handbag",39.99,"Rubber Chicken Hen Tote Handbag purse ""Henbag""",2.0 ,"Hello, The Rubber Chicken Hen Tote Bag is cute. And ordered. I was very dissatisfied because there were reddish color blotches all over yellow chicken. I believe red color dye ran from the handle when not dry. ?? I have the chicken here and the box if you want it returned. I was told that I had a refund and hope so. Love the chicken but not blotchy with color. Thanks for trying ! Happy with other items. Nancy Schoettler",,,17 Apr 2014
92,"rubber chicken purse - the ""hen bag"" handbag",39.99,Now who doesn't need a rubber chicken purse?,3.0 ,"she has no pockets and her zipper opening isn't too wide, but I guarantee you she will be a real conversation starter..",,,27 Feb 2014
93,"rubber chicken purse - the ""hen bag"" handbag",39.99,hate it,1.0 ,doesn't look like anything of the picture...too small for adult. Will have to send back and buy another present for mother.,,,26 Feb 2014
94,"rubber chicken purse - the ""hen bag"" handbag",39.99,"Poor quality, strong contrast with the picture",2.0 ,The picture on website is cute and attractive but the product is with poor quality! Not recommend to buy! Almost the worst one in my Amazon's order history!!!,,,09 Feb 2014
95,"rubber chicken purse - the ""hen bag"" handbag",39.99,cute but......,1.0 ,the zipper opening is too small to fit my hand in much less a wallet so I was disappointed in usefulness,,,12 Jan 2014
96,"rubber chicken purse - the ""hen bag"" handbag",39.99,Zipper too small,2.0 ,"Bought two, one for me and one as a gift. Thought I could use as a fun lunch box for work. My co-worker, who got the one as a gift, changed the zipper to a longer one, so she could get her sandwich out without it being crushed on the way out ! :)",,,21 Dec 2013
97,"rubber chicken purse - the ""hen bag"" handbag",39.99,Very Unique,3.0 ,The chicken purse is made of vinyl and is not very made for anyone wanting a real purse. This bag is very large and is for some one that wants a bit of whimsy. It is cute and was bought for an elderly person who is crazy about chickens. She LOVED IT!,,,12 Dec 2013
98,"rubber chicken purse - the ""hen bag"" handbag",39.99,"Love the concept, but.....",3.0 ,"I love my chickens...and I really do like the concept of this purse. It is made of rubber, and therefore would be a great purse for rainy weather. When the purse arrived, it had been folded for shipping (I can understand that), However, I have to keep it fairly loaded so it doesn't look like a folded chicken. I love carrying it and always get compliments (or at least giggles), but I have had to quit carrying it since the zipper is so short and it is a constant struggle to get my wallet in and out through the zippered opening. When I do manage to get the wallet through the top it always seems to hang on the pocket inside the purse and I have to struggle to get it past that obstacle too. I am really disappointed that the inconvenience is greater than the pleasure of carrying it since I really do like the bag. I think it would have held up well if I had been able to use it more often. But alas, I guess it was not meant to be! On the plus side, once you are able to fit your items into the bag it holds quite a bit of necessary things that women like to carry around with them. Another plus for this bag is that if you happen to be of child bearing age and also happen to have a small person you are carrying around with you...I'm sure a couple of bottles would fit in here nicely along with a diaper or two. And if a bottle happened to leak...hey, no problem. Rubber chicken will protect liquids from bleeding through and damaging anything the purse happens to be sitting on. You would have to be careful with the diaper suggestion though. I think the zipper would probably tear the plastic around the diaper.",,,25 Nov 2013
99,"rubber chicken purse - the ""hen bag"" handbag",39.99,Chicken Stench-O-Rama Bag!,1.0 ,"I saw a girl at the gym with this bag and I had to have one. The zipper was really small and I could not easily put anything inside it without intricate, time-consuming maneuvering. It was a conversation starter and the kids loved it. I took it to a farm school and the real chicken there had issues with it and tried to attack it. When I first unpacked it, I was thrown off by the smell, and I hoped that in time, it would diminish. No. It didn't. It's like a dead body was dipped in petroleum and glued to a giant moth ball. The fumes are so intense it makes your nose burn and your contact lenses bend inside out. You will weep for any kind of relief. I filled the entire purse with bounce sheets and wrapped it in wax paper and stuck it in the freezer for a week to see if the smell would fade away. No such luck. All my frozen food smells like it's been shoved up the tail pipe of a big rig. I had to throw everything out. I put baby powder in it and wrapped it in bubble wrap and put it outside for a week and then poured baking soda in the purse to see if that would help. No. It didn't. Although I really loved the concept and whimsy of the purse, I finally gave up the dream and donated it to Goodwill by dumping it in an overnight depository. At this time I must apologize to the needy who will discover this petroleum treasure. I mean you no harm. But it's cute, isn't it?",,,23 Nov 2013
100,"rubber chicken purse - the ""hen bag"" handbag",39.99,"Cute, hilarious, and not made for long term use. A great gag gift.",3.0 ,"This is a hen bag. It is a great gag gift, but I am sure it will fall apart given a lot of use. Its build quality is not that of a Michael Kors or Tory Burch bag, it is made of thin rubber (or vinyl or something of that ilk) barring the handles, which are rolled canvas. Where these stitch to the rubber is bound to fall apart eventually. That said, it's a hen bag!",,,17 Oct 2013
101,"rubber chicken purse - the ""hen bag"" handbag",39.99,eeeew,2.0 ,"The color is wrong on the pic, the bag is more yellow-orange, and I don't like it. Smells terrible. Hole-zip is really small and it hard put your stuff easily.",,,07 Jul 2013
