stop_percent,product_name,processed_WC,meaning_percent,meaningful_words,stop_words,review_score,initial_WC
0.25,samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone ),8,0.75,"{'I', 'Boostmobile', 'owned', 'phone', '!', 'Best'}","{'have', 'with'}",5.0 ,8
0.3333333333333333,samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone ),6,0.6666666666666666,"{'good', 'Very', 'phone', 'money'}","{'for', 'the'}",4.0 ,6
0.36363636363636365,samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone ),11,0.6363636363636364,"{'I', 'phone', 'love', 'GORGEOUS', '!', '...', ""'m""}","{'.', 'it', 'in', 'with'}",5.0 ,11
0.3333333333333333,samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone ),3,0.6666666666666666,"{'Love', 'phone'}",{'the'},5.0 ,3
0.6666666666666666,samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone ),3,0.3333333333333333,{'Worth'},"{'.', 'it'}",5.0 ,3
0.375,samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone ),8,0.625,"{'Mobile', 'This', 'great', 'phone', 'Boost'}","{'is', 'a', 'for'}",5.0 ,8
0.0,motorola moto g (3rd generation) no contract phone (virgin mobile) - retail packaging,12,1.0,"{'Excellent', 'Rugged', 'Intermediate', 'Value-Conscious', '&', 'For', '-', 'Phone', 'Users', 'Weatherproof', 'Buyers', 'Design'}",set(),5.0 ,12
0.3333333333333333,motorola moto g (3rd generation) no contract phone (virgin mobile) - retail packaging,6,0.6666666666666666,"{'Mobile', 'good', 'Very', 'Virgin'}","{'.', 'for'}",5.0 ,6
0.36363636363636365,motorola moto g (3rd generation) no contract phone (virgin mobile) - retail packaging,11,0.6363636363636364,"{'G', 'upgrade', 'S2', 'Moto', 'significant', 'The', 'Galaxy'}","{'over', 'is', 'a', 'the'}",4.0 ,11
0.0,"viviscal extra strength hair nutrient tablets, 90-tablets",3,1.0,"{'Viviscal', 'I', 'Like'}",set(),4.0 ,3
