"('my', 'hair', 'is')","('i', 'would', 'not')","('quality', None, None)","('me', None, None)","('as', 'well', 'as')","('work', None, None)","('pots', 'and', 'pans')","('you', None, None)","('very', 'easy', 'to')","('bottom', 'of', 'the')","('this', 'record', 'player')","('product', None, None)","('i', 'love', 'the')","('to', 'use', None)","('good', None, None)","('i', 'love', 'this')","('do', 'not', 'buy')","('it', 'would', 'be')","('it', 'is', 'a')","('a', 'few', 'months')","('easy', 'to', 'use')","('one', 'of', 'the')","('out', 'of', 'the')","('i', 'dont', 'know')","('i', 'have', 'a')","('too', None, None)","('as', 'a', 'gift')","('you', 'have', 'to')","('out', None, None)","('the', 'blue', 'light')","('i', 'bought', 'it')","('i', 'have', 'to')","('all', None, None)","('it', 'is', 'not')","('love', 'it', None)","('i', 'purchased', 'this')","('time', None, None)","('money', None, None)","('of', 'the', 'box')","('this', 'product', None)","('if', 'you', 'want')","('all', 'the', 'time')","('it', 'does', 'not')","('this', 'is', 'the')","('loves', 'it', None)","('bought', 'this', 'for')","('the', 'first', 'time')","('expected', None, None)","('use', None, None)","('the', 'bottom', 'of')","('it', 'for', 'a')","('exactly', 'what', 'i')","('i', 'thought', 'it')","('i', 'bought', 'this')","('to', 'use', 'it')","('it', None, None)","('great', None, None)","('this', 'as', 'a')","('easy', 'to', 'clean')","('gift', 'for', 'my')","('is', 'a', 'great')","('i', 'have', 'had')","('if', 'you', 'have')","('it', 'was', 'a')","('waste', 'of', 'money')","('again', None, None)","('recommend', None, None)","('seems', 'to', 'be')","('gift', None, None)","('for', 'a', 'few')","('and', 'easy', 'to')","('works', 'great', None)","('it', 'did', 'not')","('to', 'return', 'it')","('to', 'use', 'and')","('a', 'lot', 'of')","('if', 'you', 'are')","('for', 'the', 'price')","('a', 'gift', 'for')","('one', None, None)","('them', None, None)","('there', 'is', 'a')","('to', 'see', 'if')","('well', None, None)","('and', 'it', 'is')","('i', 'love', 'it')","('i', 'had', 'to')","('i', 'got', 'this')","('this', 'for', 'my')","('disappointed', None, None)","('i', 'use', 'it')","('this', 'was', 'a')","('this', 'is', 'a')","('a', 'couple', 'of')","('did', 'not', 'work')","('and', 'i', 'have')","('price', None, None)","('this', None, None)","('i', 'used', 'it')","('i', 'have', 'been')",__rating__,__product_name__
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,jbl clip 2 waterproo
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,jbl clip 2 waterproo
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,ninja professional b
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,iron gym total upper
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,oster cordless elect
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,viviscal extra stren
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,everydrop by whirlpo
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,dymo labelmanager 28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,iron gym total upper
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,viviscal extra stren
